Sale Key,City Key,Customer Key,Bill To Customer Key,Stock Item Key,Invoice Date Key,Delivery Date Key,Salesperson Key,WWI Invoice ID,Description,Package,Quantity,Unit Price,Tax Rate,Total Excluding Tax,Tax Amount,Profit,Total Including Tax,Total Dry Items,Total Chiller Items,Lineage Key,Profit Margin,Customer Segment,Stock Item,Color,City,State Province,Customer
57267,72894,0,0,188,2013-12-07,12/8/2013,81,17632,Developer joke mug - that's a hardware problem (White),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,0.568561872909699,Standard,Developer joke mug - that's a hardware problem (White),White,Port Chilkoot,Alaska,Unknown
57869,91464,0,0,169,2013-12-12,12/13/2013,39,17823,Developer joke mug - old C developers never die (Black),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,0.568561872909699,Standard,Developer joke mug - old C developers never die (Black),Black,Venersborg,Washington,Unknown
57915,47692,0,0,166,2013-12-12,12/13/2013,86,17838,IT joke mug - that behavior is by design (White),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,0.568561872909699,Standard,IT joke mug - that behavior is by design (White),White,Termo,California,Unknown
58792,48937,0,0,171,2013-12-19,12/20/2013,39,18115,Developer joke mug - this code was generated by a tool (Black),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,0.568561872909699,Standard,Developer joke mug - this code was generated by a tool (Black),Black,Caruthers,California,Unknown
49620,87481,0,0,182,2013-10-24,10/25/2013,19,15295,Developer joke mug - inheritance is the OO way to become wealthy (White),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,0.568561872909699,Standard,Developer joke mug - inheritance is the OO way to become wealthy (White),White,Harbour Pointe,Washington,Unknown
49812,76936,0,0,165,2013-10-24,10/25/2013,39,15352,IT joke mug - that behavior is by design (Black),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,0.568561872909699,Standard,IT joke mug - that behavior is by design (Black),Black,Newberg,Oregon,Unknown
50099,91464,0,0,195,2013-10-25,10/26/2013,83,15437,DBA joke mug - I will get you in order (Black),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,0.568561872909699,Standard,DBA joke mug - I will get you in order (Black),Black,Venersborg,Washington,Unknown
50101,91464,0,0,172,2013-10-25,10/26/2013,83,15437,Developer joke mug - this code was generated by a tool (White),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,0.568561872909699,Standard,Developer joke mug - this code was generated by a tool (White),White,Venersborg,Washington,Unknown
51288,48763,0,0,183,2013-11-01,11/2/2013,81,15809,Developer joke mug - when your hammer is C++ (Black),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,0.568561872909699,Standard,Developer joke mug - when your hammer is C++ (Black),Black,Arrowhead Highlands,California,Unknown
52005,76936,0,0,201,2013-11-06,11/7/2013,84,16031,DBA joke mug - daaaaaa-ta (Black),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,0.568561872909699,Standard,DBA joke mug - daaaaaa-ta (Black),Black,Newberg,Oregon,Unknown
52109,47692,0,0,203,2013-11-07,11/8/2013,83,16065,DBA joke mug - mind if I join you? (Black),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,0.568561872909699,Standard,DBA joke mug - mind if I join you? (Black),Black,Termo,California,Unknown
53210,44333,0,0,167,2013-11-14,11/15/2013,91,16381,IT joke mug - keyboard not found … press F1 to continue (Black),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,0.568561872909699,Standard,IT joke mug - keyboard not found … press F1 to continue (Black),Black,Rail Road Flat,California,Unknown
54829,48851,0,0,197,2013-11-23,11/24/2013,39,16878,DBA joke mug - it depends (Black),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,0.568561872909699,Standard,DBA joke mug - it depends (Black),Black,Bombay Beach,California,Unknown
55579,47692,0,0,199,2013-11-28,11/29/2013,19,17112,DBA joke mug - you might be a DBA if (Black),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,0.568561872909699,Standard,DBA joke mug - you might be a DBA if (Black),Black,Termo,California,Unknown
58277,72761,0,0,202,2013-12-16,12/17/2013,93,17953,DBA joke mug - daaaaaa-ta (White),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,0.568561872909699,Standard,DBA joke mug - daaaaaa-ta (White),White,Iliamna,Alaska,Unknown
58278,72761,0,0,186,2013-12-16,12/17/2013,93,17953,Developer joke mug - fun was unexpected at this time (White),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,0.568561872909699,Standard,Developer joke mug - fun was unexpected at this time (White),White,Iliamna,Alaska,Unknown
58476,47692,0,0,172,2013-12-17,12/18/2013,39,18016,Developer joke mug - this code was generated by a tool (White),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,0.568561872909699,Standard,Developer joke mug - this code was generated by a tool (White),White,Termo,California,Unknown
60167,47692,0,0,184,2013-12-27,12/28/2013,90,18531,Developer joke mug - when your hammer is C++ (White),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,0.568561872909699,Standard,Developer joke mug - when your hammer is C++ (White),White,Termo,California,Unknown
60848,41568,0,0,167,2013-12-31,1/1/2014,94,18731,IT joke mug - keyboard not found … press F1 to continue (Black),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,0.568561872909699,Standard,IT joke mug - keyboard not found … press F1 to continue (Black),Black,Lompoc,California,Unknown
49833,87481,0,0,170,2013-10-24,10/25/2013,85,15359,Developer joke mug - old C developers never die (White),Each,2,13.0,15,26.0,3.9,17.0,29.9,2,0,11,0.5685618729096991,Standard,Developer joke mug - old C developers never die (White),White,Harbour Pointe,Washington,Unknown
52836,48937,0,0,167,2013-11-13,11/14/2013,83,16273,IT joke mug - keyboard not found … press F1 to continue (Black),Each,2,13.0,15,26.0,3.9,17.0,29.9,2,0,11,0.5685618729096991,Standard,IT joke mug - keyboard not found … press F1 to continue (Black),Black,Caruthers,California,Unknown
52849,48851,0,0,184,2013-11-13,11/14/2013,91,16277,Developer joke mug - when your hammer is C++ (White),Each,2,13.0,15,26.0,3.9,17.0,29.9,2,0,11,0.5685618729096991,Standard,Developer joke mug - when your hammer is C++ (White),White,Bombay Beach,California,Unknown
53758,47741,0,0,167,2013-11-18,11/19/2013,81,16553,IT joke mug - keyboard not found … press F1 to continue (Black),Each,2,13.0,15,26.0,3.9,17.0,29.9,2,0,11,0.5685618729096991,Standard,IT joke mug - keyboard not found … press F1 to continue (Black),Black,Twin Peaks,California,Unknown
55417,48763,0,0,172,2013-11-26,11/27/2013,90,17058,Developer joke mug - this code was generated by a tool (White),Each,2,13.0,15,26.0,3.9,17.0,29.9,2,0,11,0.5685618729096991,Standard,Developer joke mug - this code was generated by a tool (White),White,Arrowhead Highlands,California,Unknown
55991,72761,0,0,201,2013-11-29,11/30/2013,93,17238,DBA joke mug - daaaaaa-ta (Black),Each,2,13.0,15,26.0,3.9,17.0,29.9,2,0,11,0.5685618729096991,Standard,DBA joke mug - daaaaaa-ta (Black),Black,Iliamna,Alaska,Unknown
56108,91464,0,0,192,2013-12-02,12/3/2013,91,17277,DBA joke mug - two types of DBAs (White),Each,2,13.0,15,26.0,3.9,17.0,29.9,2,0,11,0.5685618729096991,Standard,DBA joke mug - two types of DBAs (White),White,Venersborg,Washington,Unknown
49397,66176,0,0,163,2013-10-22,10/23/2013,39,15226,IT joke mug - hardware: part of the computer that can be kicked (Black),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,0.568561872909699,Standard,IT joke mug - hardware: part of the computer that can be kicked (Black),Black,Yerington,Nevada,Unknown
49600,77092,0,0,186,2013-10-24,10/25/2013,39,15289,Developer joke mug - fun was unexpected at this time (White),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,0.568561872909699,Standard,Developer joke mug - fun was unexpected at this time (White),White,Wasco,Oregon,Unknown
49622,87481,0,0,190,2013-10-24,10/25/2013,19,15295,Developer joke mug - Oct 31 = Dec 25 (White),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,0.568561872909699,Standard,Developer joke mug - Oct 31 = Dec 25 (White),White,Harbour Pointe,Washington,Unknown
50097,91464,0,0,182,2013-10-25,10/26/2013,83,15437,Developer joke mug - inheritance is the OO way to become wealthy (White),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,0.568561872909699,Standard,Developer joke mug - inheritance is the OO way to become wealthy (White),White,Venersborg,Washington,Unknown
50378,91464,0,0,179,2013-10-28,10/29/2013,70,15525,"Developer joke mug - (hip, hip, array) (Black)",Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,0.568561872909699,Standard,"Developer joke mug - (hip, hip, array) (Black)",Black,Venersborg,Washington,Unknown
51874,91464,0,0,176,2013-11-06,11/7/2013,83,15992,Developer joke mug - there are 10 types of people in the world (White),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,0.568561872909699,Standard,Developer joke mug - there are 10 types of people in the world (White),White,Venersborg,Washington,Unknown
52058,48763,0,0,195,2013-11-07,11/8/2013,83,16049,DBA joke mug - I will get you in order (Black),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,0.568561872909699,Standard,DBA joke mug - I will get you in order (Black),Black,Arrowhead Highlands,California,Unknown
52227,47741,0,0,187,2013-11-08,11/9/2013,74,16100,Developer joke mug - that's a hardware problem (Black),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,0.568561872909699,Standard,Developer joke mug - that's a hardware problem (Black),Black,Twin Peaks,California,Unknown
52992,47692,0,0,172,2013-11-13,11/14/2013,86,16317,Developer joke mug - this code was generated by a tool (White),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,0.568561872909699,Standard,Developer joke mug - this code was generated by a tool (White),White,Termo,California,Unknown
53466,72709,0,0,199,2013-11-15,11/16/2013,91,16464,DBA joke mug - you might be a DBA if (Black),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,0.568561872909699,Standard,DBA joke mug - you might be a DBA if (Black),Black,Ekwok,Alaska,Unknown
54832,48762,0,0,173,2013-11-23,11/24/2013,39,16879,Developer joke mug - a foo walks into a bar (Black),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,0.568561872909699,Standard,Developer joke mug - a foo walks into a bar (Black),Black,Arrowbear Lake,California,Unknown
55581,47692,0,0,200,2013-11-28,11/29/2013,19,17112,DBA joke mug - you might be a DBA if (White),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,0.568561872909699,Standard,DBA joke mug - you might be a DBA if (White),White,Termo,California,Unknown
56653,72709,0,0,175,2013-12-04,12/5/2013,96,17443,Developer joke mug - there are 10 types of people in the world (Black),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,0.568561872909699,Standard,Developer joke mug - there are 10 types of people in the world (Black),Black,Ekwok,Alaska,Unknown
57042,76936,0,0,164,2013-12-06,12/7/2013,86,17564,IT joke mug - hardware: part of the computer that can be kicked (White),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,0.568561872909699,Standard,IT joke mug - hardware: part of the computer that can be kicked (White),White,Newberg,Oregon,Unknown
58477,47692,0,0,176,2013-12-17,12/18/2013,39,18016,Developer joke mug - there are 10 types of people in the world (White),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,0.568561872909699,Standard,Developer joke mug - there are 10 types of people in the world (White),White,Termo,California,Unknown
59567,87481,0,0,184,2013-12-24,12/25/2013,94,18349,Developer joke mug - when your hammer is C++ (White),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,0.568561872909699,Standard,Developer joke mug - when your hammer is C++ (White),White,Harbour Pointe,Washington,Unknown
60326,89925,0,0,197,2013-12-27,12/28/2013,93,18576,DBA joke mug - it depends (Black),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,0.568561872909699,Standard,DBA joke mug - it depends (Black),Black,Cave Junction,Oregon,Unknown
49811,76936,0,0,166,2013-10-24,10/25/2013,39,15352,IT joke mug - that behavior is by design (White),Each,9,13.0,15,117.0,17.55,76.5,134.55,9,0,11,0.568561872909699,Standard,IT joke mug - that behavior is by design (White),White,Newberg,Oregon,Unknown
53831,48762,0,0,176,2013-11-18,11/19/2013,91,16574,Developer joke mug - there are 10 types of people in the world (White),Each,9,13.0,15,117.0,17.55,76.5,134.55,9,0,11,0.568561872909699,Standard,Developer joke mug - there are 10 types of people in the world (White),White,Arrowbear Lake,California,Unknown
56050,66176,0,0,175,2013-11-30,12/1/2013,83,17257,Developer joke mug - there are 10 types of people in the world (Black),Each,9,13.0,15,117.0,17.55,76.5,134.55,9,0,11,0.568561872909699,Standard,Developer joke mug - there are 10 types of people in the world (Black),Black,Yerington,Nevada,Unknown
56412,48762,0,0,171,2013-12-03,12/4/2013,19,17371,Developer joke mug - this code was generated by a tool (Black),Each,9,13.0,15,117.0,17.55,76.5,134.55,9,0,11,0.568561872909699,Standard,Developer joke mug - this code was generated by a tool (Black),Black,Arrowbear Lake,California,Unknown
57663,48763,0,0,175,2013-12-10,12/11/2013,90,17755,Developer joke mug - there are 10 types of people in the world (Black),Each,9,13.0,15,117.0,17.55,76.5,134.55,9,0,11,0.568561872909699,Standard,Developer joke mug - there are 10 types of people in the world (Black),Black,Arrowhead Highlands,California,Unknown
58270,72709,0,0,182,2013-12-16,12/17/2013,83,17951,Developer joke mug - inheritance is the OO way to become wealthy (White),Each,9,13.0,15,117.0,17.55,76.5,134.55,9,0,11,0.568561872909699,Standard,Developer joke mug - inheritance is the OO way to become wealthy (White),White,Ekwok,Alaska,Unknown
58303,76936,0,0,187,2013-12-16,12/17/2013,91,17961,Developer joke mug - that's a hardware problem (Black),Each,9,13.0,15,117.0,17.55,76.5,134.55,9,0,11,0.568561872909699,Standard,Developer joke mug - that's a hardware problem (Black),Black,Newberg,Oregon,Unknown
58833,48762,0,0,163,2013-12-19,12/20/2013,39,18129,IT joke mug - hardware: part of the computer that can be kicked (Black),Each,9,13.0,15,117.0,17.55,76.5,134.55,9,0,11,0.568561872909699,Standard,IT joke mug - hardware: part of the computer that can be kicked (Black),Black,Arrowbear Lake,California,Unknown
59581,41568,0,0,171,2013-12-24,12/25/2013,83,18352,Developer joke mug - this code was generated by a tool (Black),Each,9,13.0,15,117.0,17.55,76.5,134.55,9,0,11,0.568561872909699,Standard,Developer joke mug - this code was generated by a tool (Black),Black,Lompoc,California,Unknown
60633,47757,0,0,202,2013-12-30,12/31/2013,83,18667,DBA joke mug - daaaaaa-ta (White),Each,9,13.0,15,117.0,17.55,76.5,134.55,9,0,11,0.568561872909699,Standard,DBA joke mug - daaaaaa-ta (White),White,Valley View Park,California,Unknown
49532,89925,0,0,192,2013-10-23,10/24/2013,85,15267,DBA joke mug - two types of DBAs (White),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,0.568561872909699,Standard,DBA joke mug - two types of DBAs (White),White,Cave Junction,Oregon,Unknown
49901,89925,0,0,194,2013-10-25,10/26/2013,84,15380,DBA joke mug - SELECT caffeine FROM mug (White),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,0.568561872909699,Standard,DBA joke mug - SELECT caffeine FROM mug (White),White,Cave Junction,Oregon,Unknown
50461,72125,0,0,204,2013-10-28,10/29/2013,81,15551,DBA joke mug - mind if I join you? (White),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,0.568561872909699,Standard,DBA joke mug - mind if I join you? (White),White,Wrangell,Alaska,Unknown
51171,72894,0,0,198,2013-11-01,11/2/2013,74,15773,DBA joke mug - it depends (White),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,0.568561872909699,Standard,DBA joke mug - it depends (White),White,Port Chilkoot,Alaska,Unknown
52175,47741,0,0,188,2013-11-08,11/9/2013,86,16085,Developer joke mug - that's a hardware problem (White),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,0.568561872909699,Standard,Developer joke mug - that's a hardware problem (White),White,Twin Peaks,California,Unknown
52415,47134,0,0,179,2013-11-09,11/10/2013,39,16149,"Developer joke mug - (hip, hip, array) (Black)",Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,0.568561872909699,Standard,"Developer joke mug - (hip, hip, array) (Black)",Black,Nicasio,California,Unknown
53369,72125,0,0,197,2013-11-15,11/16/2013,91,16433,DBA joke mug - it depends (Black),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,0.568561872909699,Standard,DBA joke mug - it depends (Black),Black,Wrangell,Alaska,Unknown
55529,47741,0,0,184,2013-11-27,11/28/2013,74,17096,Developer joke mug - when your hammer is C++ (White),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,0.568561872909699,Standard,Developer joke mug - when your hammer is C++ (White),White,Twin Peaks,California,Unknown
57330,87633,0,0,174,2013-12-07,12/8/2013,86,17651,Developer joke mug - a foo walks into a bar (White),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,0.568561872909699,Standard,Developer joke mug - a foo walks into a bar (White),White,Meadowdale,Washington,Unknown
57659,48763,0,0,197,2013-12-10,12/11/2013,90,17755,DBA joke mug - it depends (Black),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,0.568561872909699,Standard,DBA joke mug - it depends (Black),Black,Arrowhead Highlands,California,Unknown
57922,47855,0,0,191,2013-12-12,12/13/2013,81,17840,DBA joke mug - two types of DBAs (Black),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,0.568561872909699,Standard,DBA joke mug - two types of DBAs (Black),Black,Yermo,California,Unknown
57987,47757,0,0,197,2013-12-13,12/14/2013,39,17862,DBA joke mug - it depends (Black),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,0.568561872909699,Standard,DBA joke mug - it depends (Black),Black,Valley View Park,California,Unknown
58841,44333,0,0,167,2013-12-19,12/20/2013,86,18131,IT joke mug - keyboard not found … press F1 to continue (Black),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,0.568561872909699,Standard,IT joke mug - keyboard not found … press F1 to continue (Black),Black,Rail Road Flat,California,Unknown
58854,72610,0,0,167,2013-12-19,12/20/2013,81,18135,IT joke mug - keyboard not found … press F1 to continue (Black),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,0.568561872909699,Standard,IT joke mug - keyboard not found … press F1 to continue (Black),Black,Akhiok,Alaska,Unknown
59954,47757,0,0,187,2013-12-25,12/26/2013,81,18463,Developer joke mug - that's a hardware problem (Black),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,0.568561872909699,Standard,Developer joke mug - that's a hardware problem (Black),Black,Valley View Park,California,Unknown
51631,48763,0,0,198,2013-11-05,11/6/2013,39,15919,DBA joke mug - it depends (White),Each,4,13.0,15,52.0,7.8,34.0,59.8,4,0,11,0.5685618729096991,Standard,DBA joke mug - it depends (White),White,Arrowhead Highlands,California,Unknown
51865,48762,0,0,184,2013-11-06,11/7/2013,91,15990,Developer joke mug - when your hammer is C++ (White),Each,4,13.0,15,52.0,7.8,34.0,59.8,4,0,11,0.5685618729096991,Standard,Developer joke mug - when your hammer is C++ (White),White,Arrowbear Lake,California,Unknown
52176,47741,0,0,194,2013-11-08,11/9/2013,86,16085,DBA joke mug - SELECT caffeine FROM mug (White),Each,4,13.0,15,52.0,7.8,34.0,59.8,4,0,11,0.5685618729096991,Standard,DBA joke mug - SELECT caffeine FROM mug (White),White,Twin Peaks,California,Unknown
52329,47855,0,0,174,2013-11-08,11/9/2013,90,16128,Developer joke mug - a foo walks into a bar (White),Each,4,13.0,15,52.0,7.8,34.0,59.8,4,0,11,0.5685618729096991,Standard,Developer joke mug - a foo walks into a bar (White),White,Yermo,California,Unknown
57346,72646,0,0,173,2013-12-09,12/10/2013,94,17658,Developer joke mug - a foo walks into a bar (Black),Each,4,13.0,15,52.0,7.8,34.0,59.8,4,0,11,0.5685618729096991,Standard,Developer joke mug - a foo walks into a bar (Black),Black,Biorka,Alaska,Unknown
57515,41568,0,0,201,2013-12-09,12/10/2013,94,17710,DBA joke mug - daaaaaa-ta (Black),Each,4,13.0,15,52.0,7.8,34.0,59.8,4,0,11,0.5685618729096991,Standard,DBA joke mug - daaaaaa-ta (Black),Black,Lompoc,California,Unknown
57870,91464,0,0,166,2013-12-12,12/13/2013,39,17823,IT joke mug - that behavior is by design (White),Each,4,13.0,15,52.0,7.8,34.0,59.8,4,0,11,0.5685618729096991,Standard,IT joke mug - that behavior is by design (White),White,Venersborg,Washington,Unknown
59527,48763,0,0,191,2013-12-24,12/25/2013,86,18339,DBA joke mug - two types of DBAs (Black),Each,4,13.0,15,52.0,7.8,34.0,59.8,4,0,11,0.5685618729096991,Standard,DBA joke mug - two types of DBAs (Black),Black,Arrowhead Highlands,California,Unknown
59953,47757,0,0,170,2013-12-25,12/26/2013,81,18463,Developer joke mug - old C developers never die (White),Each,4,13.0,15,52.0,7.8,34.0,59.8,4,0,11,0.5685618729096991,Standard,Developer joke mug - old C developers never die (White),White,Valley View Park,California,Unknown
60348,72610,0,0,187,2013-12-27,12/28/2013,97,18582,Developer joke mug - that's a hardware problem (Black),Each,4,13.0,15,52.0,7.8,34.0,59.8,4,0,11,0.5685618729096991,Standard,Developer joke mug - that's a hardware problem (Black),Black,Akhiok,Alaska,Unknown
49835,87481,0,0,195,2013-10-24,10/25/2013,85,15359,DBA joke mug - I will get you in order (Black),Each,8,13.0,15,104.0,15.6,68.0,119.6,8,0,11,0.5685618729096991,Standard,DBA joke mug - I will get you in order (Black),Black,Harbour Pointe,Washington,Unknown
51289,48763,0,0,194,2013-11-01,11/2/2013,81,15809,DBA joke mug - SELECT caffeine FROM mug (White),Each,8,13.0,15,104.0,15.6,68.0,119.6,8,0,11,0.5685618729096991,Standard,DBA joke mug - SELECT caffeine FROM mug (White),White,Arrowhead Highlands,California,Unknown
51866,48762,0,0,198,2013-11-06,11/7/2013,91,15990,DBA joke mug - it depends (White),Each,8,13.0,15,104.0,15.6,68.0,119.6,8,0,11,0.5685618729096991,Standard,DBA joke mug - it depends (White),White,Arrowbear Lake,California,Unknown
55118,72894,0,0,193,2013-11-25,11/26/2013,93,16968,DBA joke mug - SELECT caffeine FROM mug (Black),Each,8,13.0,15,104.0,15.6,68.0,119.6,8,0,11,0.5685618729096991,Standard,DBA joke mug - SELECT caffeine FROM mug (Black),Black,Port Chilkoot,Alaska,Unknown
55432,72646,0,0,168,2013-11-27,11/28/2013,91,17067,IT joke mug - keyboard not found … press F1 to continue (White),Each,8,13.0,15,104.0,15.6,68.0,119.6,8,0,11,0.5685618729096991,Standard,IT joke mug - keyboard not found … press F1 to continue (White),White,Biorka,Alaska,Unknown
57662,48763,0,0,184,2013-12-10,12/11/2013,90,17755,Developer joke mug - when your hammer is C++ (White),Each,8,13.0,15,104.0,15.6,68.0,119.6,8,0,11,0.5685618729096991,Standard,Developer joke mug - when your hammer is C++ (White),White,Arrowhead Highlands,California,Unknown
58384,87481,0,0,189,2013-12-16,12/17/2013,19,17986,Developer joke mug - Oct 31 = Dec 25 (Black),Each,8,13.0,15,104.0,15.6,68.0,119.6,8,0,11,0.5685618729096991,Standard,Developer joke mug - Oct 31 = Dec 25 (Black),Black,Harbour Pointe,Washington,Unknown
60330,89925,0,0,181,2013-12-27,12/28/2013,93,18576,Developer joke mug - inheritance is the OO way to become wealthy (Black),Each,8,13.0,15,104.0,15.6,68.0,119.6,8,0,11,0.5685618729096991,Standard,Developer joke mug - inheritance is the OO way to become wealthy (Black),Black,Cave Junction,Oregon,Unknown
49373,48937,0,0,174,2013-10-22,10/23/2013,83,15218,Developer joke mug - a foo walks into a bar (White),Each,3,13.0,15,39.0,5.85,25.5,44.85,3,0,11,0.568561872909699,Standard,Developer joke mug - a foo walks into a bar (White),White,Caruthers,California,Unknown
50916,72610,0,0,177,2013-10-30,10/31/2013,39,15694,Developer joke mug - understanding recursion requires understanding recursion (Black),Each,3,13.0,15,39.0,5.85,25.5,44.85,3,0,11,0.568561872909699,Standard,Developer joke mug - understanding recursion requires understanding recursion (Black),Black,Akhiok,Alaska,Unknown
54575,47741,0,0,174,2013-11-21,11/22/2013,91,16798,Developer joke mug - a foo walks into a bar (White),Each,3,13.0,15,39.0,5.85,25.5,44.85,3,0,11,0.568561872909699,Standard,Developer joke mug - a foo walks into a bar (White),White,Twin Peaks,California,Unknown
54739,48937,0,0,201,2013-11-22,11/23/2013,74,16852,DBA joke mug - daaaaaa-ta (Black),Each,3,13.0,15,39.0,5.85,25.5,44.85,3,0,11,0.568561872909699,Standard,DBA joke mug - daaaaaa-ta (Black),Black,Caruthers,California,Unknown
